IP,AS,Latency,Dest,Source,Org Name,Net Range
142.250.235.236,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
108.170.248.52,AS15169,10000,youtube.com.txt,NY,GOOGLE,108.170.192.0-108.170.255.255
142.251.68.253,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
142.250.224.214,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
142.251.247.25,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
142.250.61.39,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
108.170.228.157,AS15169,10000,youtube.com.txt,NY,GOOGLE,108.170.192.0-108.170.255.255
108.170.235.13,AS15169,10000,youtube.com.txt,NY,GOOGLE,108.170.192.0-108.170.255.255
142.250.63.170,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
142.251.55.245,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
142.250.182.78,AS15169,10000,youtube.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
212.113.9.30,AS9057,10000,ubuntu.com.txt,NY,LONDON-E3-CUST1,212.113.8.0-212.113.9.255
185.125.190.20,AS41231,10000,ubuntu.com.txt,NY,UK-CANONICAL-20151111,185.125.188.0-185.125.191.255
162.158.152.5,AS13335,10000,codeforces.com.txt,NY,CLOUDFLARENET,162.158.0.0-162.159.255.255
104.26.7.164,AS13335,10000,codeforces.com.txt,NY,CLOUDFLARENET,104.16.0.0-104.31.255.255
142.251.225.87,AS15169,10000,chess.com.txt,NY,GOOGLE,142.250.0.0-142.251.255.255
108.170.236.89,AS15169,10000,chess.com.txt,NY,GOOGLE,108.170.192.0-108.170.255.255
103.102.166.224,AS14907,10000,wikipedia.org.txt,NY,WIKIMEDIA-AP,103.102.166.0-103.102.166.255
209.120.139.62,AS6517,10000,github.com.txt,NY,RGS-BLK4,209.120.128.0-209.120.255.255
116.51.17.26,AS2914,10000,olacabs.com.txt,NY,NTT-GIN,116.51.16.0-116.51.31.255
52.93.10.200,AS16509,10000,olacabs.com.txt,NY,AT-88-Z,52.84.0.0-52.95.255.255
52.93.115.7,AS16509,10000,olacabs.com.txt,NY,AT-88-Z,52.84.0.0-52.95.255.255
172.70.112.4,AS13335,10000,zerodha.com.txt,NY,CLOUDFLARENET,172.64.0.0-172.71.255.255
104.17.218.15,AS13335,10000,zerodha.com.txt,NY,CLOUDFLARENET,104.16.0.0-104.31.255.255